trt,reps,trt_name,pylex,sprint,cultivar,dat,control
1,1,nontreated,0,0,clanton,7,0
1,2,nontreated,0,0,clanton,7,0
1,3,nontreated,0,0,clanton,7,0
2,1,pylex 6.15 sprint 152.2,6.15,152.2,clanton,7,0
2,2,pylex 6.15 sprint 152.2,6.15,152.2,clanton,7,0
2,3,pylex 6.15 sprint 152.2,6.15,152.2,clanton,7,0
3,1,pylex 6.15 sprint 305,6.15,305,clanton,7,0
3,2,pylex 6.15 sprint 305,6.15,305,clanton,7,0
3,3,pylex 6.15 sprint 305,6.15,305,clanton,7,0
4,1,pylex 6.15 sprint 610,6.15,610,clanton,7,0
4,2,pylex 6.15 sprint 610,6.15,610,clanton,7,0
4,3,pylex 6.15 sprint 610,6.15,610,clanton,7,0
5,1,pylex 6.15 sprint 1220,6.15,1220,clanton,7,0
5,2,pylex 6.15 sprint 1220,6.15,1220,clanton,7,0
5,3,pylex 6.15 sprint 1220,6.15,1220,clanton,7,0
6,1,pylex 6.15 sprint 1220,6.15,2440,clanton,7,0
6,2,pylex 6.15 sprint 2440,6.15,2440,clanton,7,0
6,3,pylex 6.15 sprint 2440,6.15,2440,clanton,7,0
7,1,pylex 12.3 sprint 152.2,12.3,152.2,clanton,7,0
7,2,pylex 12.3 sprint 152.2,12.3,152.2,clanton,7,0
7,3,pylex 12.3 sprint 152.2,12.3,152.2,clanton,7,0
8,1,pylex 12.3 sprint 305,12.3,305,clanton,7,0
8,2,pylex 12.3 sprint 305,12.3,305,clanton,7,0
8,3,pylex 12.3 sprint 305,12.3,305,clanton,7,0
9,1,pylex 12.3 sprint 610,12.3,610,clanton,7,0
9,2,pylex 12.3 sprint 610,12.3,610,clanton,7,0
9,3,pylex 12.3 sprint 610,12.3,610,clanton,7,0
